SEE;GEO_LAENGE;GEO_BREITE;SEEHÖHE;FLÄCHE;MAX_TIEFE;MITTLERE_TIEFE;VOLUMEN;W_ERNEUERUNG;ABFLUSS;EINZUG
Afritzer See;13,769626;46,7434495;750;0,487853;22,5;14,2;6.925.741;1,7;130;8,67
Aichwaldsee;13,94494741;46,55590955;634;0,0332;7,2;4,2;141.161;0,18;250;1,4
Badesee Kirschentheuer;14,26559151;46,53318016;431;0,090244;12;7,1;631.708;;;
Faaker See;13,92674275;46,58113931;554;2,199999;29,5;16,1;35.242.157;1,8;619;37,09
Falkertsee;13,82854409;46,86183425;1870;0,043179;13,2;5,5;238.131;;;0,9
Farchtensee;13,46717562;46,68294455;985;0,117168;8,3;4,6;539.975;;;8,64
Feldsee;13,7528904;46,76896005;739;0,41193;26,3;15,4;6.274.453;2,5;80;8,3
Ferlacher Badesee;14,28358243;46,54531198;420;0,067382;10;6;;;;
Flatschacher See;14,06206142;46,72853794;680;0,029999;3,4;1,6;46.306;0,073;20;3,5
Forstsee;14,07198324;46,63074568;601;0,29;35;22;6.500.000;;;2,4
Goggausee;14,15180889;46,79734308;775;0,105095;12;9,3;876.935;;;2,75
Gösselsdorfer See;14,61946847;46,56519225;469;0,32;3;1,9;608.000;;;28,81
Greifenburger Badesee;13,19647715;46,7479002;590;0,05;14,5;;;;;
Grünsee (Villach);13,89235487;46,62223341;490;0,01757;6,6;3,6;62.543;;;
Hafnersee;14,13051009;46,58868586;510;0,159397;10;5;795.224;0,1;240;12,7
Hörzendorfer See;14,34089689;46,72378474;517;0,0636;5;;;;;5,89
Keutschacher See;14,15743969;46,58680449;506;1,3271;15,6;10,3;13.624.913;0,75;570;29,81
Kleinsee;14,56539306;46,60676238;448;0,09;9;;;;;6,14
Klopeiner See;14,58547004;46,60456579;446;1,10625;48;23;25.422.734;11,5;35;4,14
Kraiger See;14,36667451;46,80246469;596;0,051018;10;4,9;248.995;;;1,5
Längsee;14,42575289;46,78934172;550;0,748455;21,4;13,4;9.187.519;9,7;30;5,36
Leonharder See;13,85726946;46,63010792;520;0,0229;6,5;3,6;82.252;;;
Linsendorfer See;14,46215072;46,56922395;403;0,03;7,5;;;;;
Magdalensee;13,89284424;46,61775115;486;0,14105;5,2;3,4;483.041;;;0,6
Maltschacher See;14,14357912;46,70419841;594;0,129023;6,7;4,2;537.688;9,4;1;1
Millstätter See;13,60786844;46,77861655;588;13,2813;141;88,6;1.204.556.715;7,5;5.090;284,55
Moosburger Mitterteich;14,16499612;46,65963366;510;0,173491;3;;;;;13,47
Moosburger Mühlteich;14,16917584;46,66040392;503;0,039031;5;;;;;
Ossiacher See;13,92918118;46,66114381;501;10,787499;52,6;19,6;206.283.798;1,8;3550;162,91
Pirkdorfer See;14,74862423;46,55734609;504;0,035;3,5;;;;;
Pischeldorfer Badeteich;14,46346529;46,69046533;465;0,0075;2,4;;;;;
Pressegger See;13,44293246;46,62500166;560;0,552799;13,7;3,4;1.878.027;0,05;1200;28,74
Rauschelesee;14,21953058;46,58488061;510;0,190999;12;5,7;1.079.819;0,3;120;5,11
Saisser See;14,03415568;46,62894067;593;0,133;6,6;4,3;575.431;;;
Silbersee (Villach);13,90647632;46,60926399;492;0,084;7;;;;;
Sonnegger See;14,6275155;46,55363187;468;0,017;4,5;;;;;
St. Andräer See;14,83953323;46,74353464;393;0,024823;5;3;74.500;;;
St. Johanner Badesee;14,21492104;46,53380555;439;0,120827;13;6,2;690.015;;;
St. Urban See;14,16121008;46,74565933;745;0,09;3;1,7;150.000;;;
Trattnigteich;14,12680242;46,61367486;570;0,053097;3;;;;;
Turnersee;14,57613125;46,58540725;481;0,441559;13;7,5;3.308.833;1,2;85;7,98
Turracher See;13,8763464;46,91806427;1780;0,194339;33;13,6;2.644.477;1,1;70;2,2
Vassacher See;13,86026561;46,63341365;521;0,0443;10,2;5,1;227.670;;;
Weißensee ;13,37748293;46,700958;929;6,531249;99;35,1;226.098.549;9,2;787;49,63
Wernberger Badesee;13,95089881;46,60252099;492;0,045;15;;;;;
Wörthersee;14,12194257;46,630346;439;19,3875;85,2;41,9;816.440.455;10,5;2.470;162,23
Zmulner See;14,25062456;46,7036269;523;0,0182;7,5;;67.675;;;0,38
Naturbadesee Lavamünd;14,931034;46,648916;350;0,0088;6;2,5;30.000;;;
